"type","date","metrics","value"
"SO2","20181227","3",4.29166666666667
"CO","20181227","4",0.325
"NO2","20181227","4",11.875
"O3","20181227","4",43.0416666666667
"SO2","20181227","4",2.91666666666667
"CO","20181227","5",0.2875
"NO2","20181227","5",13.2173913043478
"O3","20181227","5",46.8695652173913
"SO2","20181227","5",2.95652173913043
"CO","20181227","6",0.325
"NO2","20181227","6",9.95652173913044
"O3","20181227","6",48.2608695652174
"SO2","20181227","6",3.52173913043478
"CO","20181227","7",0.334782608695652
"NO2","20181227","7",11.9565217391304
"O3","20181227","7",54.6086956521739
"SO2","20181227","7",3.21739130434783
"CO","20181227","8",0.286666666666667
"NO2","20181227","8",5.31818181818182
"O3","20181227","8",49.9545454545455
"SO2","20181227","8",1.59090909090909
"CO","20181227","10",0.320833333333333
"NO2","20181227","10",16.2916666666667
"O3","20181227","10",44.4166666666667
"SO2","20181227","10",2.5
"CO","20181227","11",0.258333333333333
"NO2","20181227","11",7.875
"O3","20181227","11",53.4583333333333
"SO2","20181227","11",2.125
"CO","20181227","12",0.30952380952381
"NO2","20181227","12",7.26086956521739
"O3","20181227","12",56.4545454545455
"SO2","20181227","12",2.65217391304348
"CO","20181227","13",1.06666666666667
"NO2","20181227","13",12
"O3","20181227","13",63.4166666666667
"SO2","20181227","13",1.33333333333333
"CO","20181227","14",0.733333333333333
"NO2","20181227","14",16.4583333333333
"O3","20181227","14",40.875
"SO2","20181227","14",1.33333333333333
"CO","20181227","15",0.2125
"NO2","20181227","15",15.0416666666667
"O3","20181227","15",44.25
"SO2","20181227","15",2.68181818181818
"CO","20181227","16",0.35
"NO2","20181227","16",13.875
"O3","20181227","16",43.5416666666667
"SO2","20181227","16",2.54166666666667
"CO","20181227","17",0.334782608695652
"NO2","20181227","17",4.91304347826087
"O3","20181227","17",59.5217391304348
"SO2","20181227","17",2.17391304347826
"CO","20181227","18",0.320833333333333
"NO2","20181227","18",8.20833333333333
"O3","20181227","18",50.75
"SO2","20181227","18",4.54166666666667
"CO","20181227","19",0.304166666666667
"NO2","20181227","19",7.33333333333333
"O3","20181227","19",56.875
"SO2","20181227","19",1.33333333333333
"CO","20181227","20",0.320833333333333
"NO2","20181227","20",2.75
"O3","20181227","20",62.125
"SO2","20181227","20",1.91666666666667
"CO","20181227","21",0.3
"NO2","20181227","21",11.7083333333333
"O3","20181227","21",49.625
"SO2","20181227","21",3.08333333333333
